id,позиция,категория,стоимость,описание,ссылка_на_картинку,category_slug,category_title,brand_slug,brand,model_slug,model,time,badge,page_url
telefony-apple-iphone-17-pro-max-диагностика-1,Диагностика,Телефоны,Бесплатно,Apple iPhone 17 Pro Max: срок уточняется мастером,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,,,remont/telefony/apple/iphone-17-pro-max/
telefony-apple-iphone-17-pro-max-замена-аккумулятора-2,Замена аккумулятора,Телефоны,1 390 ₽,Apple iPhone 17 Pro Max: от 20 мин,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,от 20 мин,,remont/telefony/apple/iphone-17-pro-max/
telefony-apple-iphone-17-pro-max-замена-стекла-3,Замена стекла,Телефоны,3 590 ₽,Apple iPhone 17 Pro Max: от 20 мин,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,от 20 мин,,remont/telefony/apple/iphone-17-pro-max/
telefony-apple-iphone-17-pro-max-замена-экрана-4,Замена экрана,Телефоны,4 490 ₽,Apple iPhone 17 Pro Max: от 20 мин,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,от 20 мин,,remont/telefony/apple/iphone-17-pro-max/
telefony-apple-iphone-17-pro-max-гидрогелевая-защита-5,Гидрогелевая защита,Телефоны,990 ₽,Apple iPhone 17 Pro Max: от 10 мин,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,от 10 мин,ХИТ,remont/telefony/apple/iphone-17-pro-max/
telefony-apple-iphone-17-pro-max-замена-задней-крышки-6,Замена задней крышки,Телефоны,2 990 ₽,Apple iPhone 17 Pro Max: от 20 мин,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,от 20 мин,,remont/telefony/apple/iphone-17-pro-max/
telefony-apple-iphone-17-pro-max-чистка-динамика-микрофонов-от-пыли-7,"Чистка динамика, микрофонов от пыли",Телефоны,590 ₽,Apple iPhone 17 Pro Max: от 10 мин,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,от 10 мин,,remont/telefony/apple/iphone-17-pro-max/
telefony-apple-iphone-17-pro-max-замена-корпуса-8,Замена корпуса,Телефоны,2 990 ₽,Apple iPhone 17 Pro Max: от 30 мин,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,от 30 мин,,remont/telefony/apple/iphone-17-pro-max/
telefony-apple-iphone-17-pro-max-замена-разъема-зарядки-9,Замена разъема зарядки,Телефоны,1 590 ₽,Apple iPhone 17 Pro Max: от 30 мин,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,от 30 мин,,remont/telefony/apple/iphone-17-pro-max/
telefony-apple-iphone-17-pro-max-замена-динамика-10,Замена динамика,Телефоны,1 390 ₽,Apple iPhone 17 Pro Max: от 30 мин,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,от 30 мин,,remont/telefony/apple/iphone-17-pro-max/
telefony-apple-iphone-17-pro-max-замена-микрофона-11,Замена микрофона,Телефоны,1 590 ₽,Apple iPhone 17 Pro Max: от 30 мин,https://xn--101-eddot8cge.xn--p1ai/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%BA%D0%B8%20%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2/%D0%A2%D0%B5%D0%BB%D0%B5%D1%84%D0%BE%D0%BD.png,telefony,Ремонт телефонов,apple,Apple,iphone-17-pro-max,iPhone 17 Pro Max,от 30 мин,,remont/telefony/apple/iphone-17-pro-max/
